participant_id,condition_code,gender_code,age,sleep_hours,anxiety_score,mem_pre,mem_post,rt_ms,acc_rate,attention_check,completed
P001,1,1,25,6.3,50,23,24,592,0.66,1,1
P002,1,2,24,7.4,46,20,20,602,0.65,1,1
P003,1,1,23,5.3,43,25,27,625,0.66,1,1
P004,1,1,22,6.4,40,22,23,635,0.66,1,1
P005,1,2,21,7.5,53,19,19,576,0.65,1,1
P006,1,1,20,5.4,49,24,26,599,0.66,1,1
P007,1,2,19,6.5,45,20,20,608,0.63,1,1
P008,1,1,18,,41,17,19,618,0.66,1,1
P009,1,1,25,5.5,53,22,23,652,0.64,1,1
P010,1,2,24,6.6,49,18,18,581,0.62,1,1
P011,1,1,23,7.7,44,23,24,590,0.73,1,1
P012,1,2,22,5.6,39,20,20,612,0.61,1,1
P013,1,1,21,6.7,52,17,19,634,0.64,1,1
P014,1,1,20,7.8,,22,23,643,0.62,1,1
P015,1,2,19,5.7,42,19,19,584,0.61,1,1
P016,1,1,18,6.8,38,16,18,593,0.64,1,1
P017,1,2,25,7.9,33,21,22,602,0.61,0,1
P018,1,1,24,5.8,46,18,20,637,0.63,1,1
P019,1,1,23,6.9,42,23,24,647,0.72,1,1
P020,1,2,22,8,38,20,20,576,0.6,1,1
P021,1,1,21,5.9,34,17,18,598,0.62,1,1
P022,1,2,20,7,48,23,24,621,0.73,1,1
P023,1,1,19,8.1,44,20,22,,0.63,1,1
P024,1,1,18,6,41,17,18,573,0.63,1,1
P025,1,2,25,7.1,38,22,22,583,0.6,1,1
P026,1,1,24,8.2,52,20,22,606,0.64,1,1
P027,1,2,23,6.1,48,25,26,628,0.73,1,1
P028,1,1,22,7.2,45,22,24,639,0.64,1,1
P029,1,1,21,8.3,41,19,20,568,0.63,1,0
P030,1,2,20,6.2,55,24,24,603,0.72,1,1
P031,1,1,19,7.3,51,21,22,612,0.62,1,1
P032,1,2,18,5.2,47,18,18,635,0.62,1,1
P033,1,1,25,6.3,43,23,25,645,0.74,1,1
P034,1,1,24,7.4,38,20,21,573,0.62,1,1
P035,1,2,23,5.3,51,25,25,608,0.71,1,1
P036,1,1,22,6.4,46,22,24,617,0.63,1,1
P037,1,2,21,7.5,42,19,20,626,0.62,1,1
P038,1,1,20,5.4,37,23,25,648,0.72,1,1
P039,1,1,19,6.5,49,20,21,588,0.6,1,1
P040,1,2,18,7.6,44,17,17,890,0.59,1,1
P041,1,1,25,5.5,40,21,22,620,0.69,1,1
P042,1,2,24,6.6,35,18,18,629,0.58,1,1
P043,1,1,23,7.7,48,23,25,570,0.7,1,1
P044,1,1,22,5.6,44,20,21,592,0.69,1,1
P045,1,2,21,6.7,40,17,17,602,,1,1
P046,1,1,20,7.8,36,22,24,612,0.7,1,1
P047,1,2,19,5.7,50,19,20,647,0.58,1,1
P048,1,1,18,6.8,46,16,18,576,0.6,1,1
P049,1,1,25,7.9,43,21,22,586,0.68,1,1
P050,1,2,24,5.8,40,18,18,610,0.57,1,1
P051,1,1,23,6.9,37,23,24,620,0.68,1,1
P052,1,2,22,8,50,20,20,642,0.67,1,1
P053,1,1,21,5.9,47,17,19,584,0.59,1,1
P054,1,1,20,7,43,23,24,594,0.69,0,1
P055,1,2,19,8.1,40,20,20,605,0.68,1,1
P056,1,1,18,6,53,17,18,639,0.59,1,1
P057,1,2,25,,49,23,24,649,0.7,1,1
P058,1,1,24,8.2,45,20,22,578,0.6,1,1
P059,1,1,23,6.1,40,25,26,600,0.69,1,1
P060,1,2,22,7.2,53,22,22,621,0.68,1,1
P061,2,1,21,8.3,,19,22,574,0.68,1,1
P062,2,2,20,6.2,42,24,26,516,0.77,1,1
P063,2,1,19,7.3,37,21,25,525,0.8,1,0
P064,2,1,18,5.2,49,18,21,558,0.68,1,1
P065,2,2,25,6.3,44,23,25,568,0.77,1,1
P066,2,1,24,7.4,40,20,24,577,0.8,1,1
P067,2,2,23,5.3,35,25,28,518,0.78,1,1
P068,2,1,22,6.4,31,22,26,528,0.79,1,1
P069,2,1,21,7.5,44,18,21,550,0.66,1,1
P070,2,2,20,5.4,40,23,25,572,0.75,1,1
P071,2,1,19,6.5,36,20,24,582,0.78,1,1
P072,2,2,18,7.6,33,17,20,512,0.66,1,1
P073,2,1,25,5.5,46,21,25,546,0.76,1,1
P074,2,1,24,6.6,43,18,21,557,0.75,1,1
P075,2,2,23,7.7,40,23,25,567,0.73,1,1
P076,2,1,22,5.6,36,20,24,,0.76,1,1
P077,2,2,21,6.7,50,17,20,531,0.75,1,1
P078,2,1,20,7.8,47,22,26,542,0.75,1,1
P079,2,1,19,5.7,43,19,22,564,0.74,1,1
P080,2,2,18,6.8,40,16,18,575,0.63,1,1
P081,2,1,25,7.9,53,21,24,516,0.74,1,1
P082,2,2,24,5.8,49,18,20,538,0.73,1,1
P083,2,1,23,6.9,45,23,27,548,0.74,1,1
P084,2,1,22,8,41,20,23,558,0.74,1,1
P085,2,2,21,5.9,36,18,20,580,0.74,1,1
P086,2,1,20,7,48,23,26,520,0.74,1,1
P087,2,2,19,8.1,44,20,22,529,0.73,1,1
P088,2,1,18,6,39,17,21,551,0.76,0,1
P089,2,1,25,7.1,,23,26,560,0.75,1,1
P090,2,2,24,8.2,47,20,22,582,0.74,1,1
P091,2,1,23,6.1,42,25,28,523,0.75,1,1
P092,2,2,22,7.2,37,22,24,532,0.74,1,1
P093,2,1,21,8.3,33,19,23,542,0.77,1,1
P094,2,1,20,6.2,46,24,27,576,0.74,1,1
P095,2,2,19,7.3,42,21,23,586,0.74,1,1
P096,2,1,18,5.2,38,18,22,528,0.76,1,1
P097,2,2,25,6.3,35,23,26,538,0.74,1,0
P098,2,1,24,7.4,48,20,24,560,0.76,1,1
P099,2,1,23,5.3,45,25,28,583,0.85,1,1
P100,2,2,22,6.4,42,22,24,594,0.73,1,1
P101,2,1,21,7.5,38,18,22,523,0.74,1,1
P102,2,2,20,5.4,35,23,26,330,0.72,1,1
P103,2,1,19,,49,20,24,568,0.74,1,1
P104,2,1,18,7.6,45,16,19,578,0.72,1,1
P105,2,2,25,5.5,42,21,23,520,0.7,1,1
P106,2,1,24,6.6,38,18,22,530,0.72,1,1
P107,2,2,23,7.7,51,23,26,552,0.81,1,1
P108,2,1,22,5.6,47,20,24,574,0.72,1,1
P109,2,1,21,6.7,43,17,20,584,0.71,1,1
P110,2,2,20,7.8,,22,24,512,0.8,1,1
P111,2,1,19,5.7,51,19,22,547,0.7,1,1
P112,2,2,18,6.8,46,16,18,556,0.7,1,1
P113,2,1,25,7.9,41,21,25,565,0.71,0,1
P114,2,1,24,5.8,36,18,21,587,0.7,1,1
P115,2,2,23,6.9,49,23,25,528,0.79,1,1
P116,2,1,22,8,44,20,24,537,0.71,1,1
P117,2,2,21,5.9,40,18,20,559,0.7,1,1
P118,2,1,20,7,35,23,27,568,0.82,1,1
P119,2,1,19,8.1,31,20,23,578,0.71,1,1
P120,2,2,18,6,44,18,20,532,0.71,1,1
P032,1,2,18,5.2,47,18,18,635,0.62,1,1
